"","Year","Area","Street","Street 2"
"1",2011,"Birmingham","AcocksGreen",""
"2",2011,"Birmingham","AdderlyStr.",""
"3",2011,"Birmingham","AlcesterRaod,̴Mosley",""
"4",2011,"Birmingham","Alcesterroad",""
"5",2011,"Birmingham","Alcesterroadmoseley",""
"6",2011,"Birmingham","AlcesterRoadMoseley",""
"7",2011,"Birmingham","AlfredStr.",""
"8",2011,"Birmingham","Allserviceclub,̴Mosley",""
"9",2011,"Birmingham","AlumRockRoad",""
"10",2011,"Birmingham","AlumRockRoad",""
"11",2011,"Birmingham","AlumRockRoad",""
"12",2011,"Birmingham","AlumRockRoad",""
"13",2011,"Birmingham","Arcadiancentre",""
"14",2011,"Birmingham","ArdenRoad,̴Saltley",""
"15",2011,"Birmingham","Asda,̴ChemsleyWood",""
"16",2011,"Birmingham","BalsahllHeathPark,̴J/WBrightonroad",""
"17",2011,"Birmingham","BamfordRoad",""
"18",2011,"Birmingham","BamfordRoad",""
"19",2011,"Birmingham","BeechBrookAvenueSparkhill",""
"20",2011,"Birmingham","BelchersLane",""
"21",2011,"Birmingham","BelchersLane",""
"22",2011,"Birmingham","BelchersLane",""
"23",2011,"Birmingham","BelchersLane,̴BordesleyGreen",""
"24",2011,"Birmingham","BellStr.",""
"25",2011,"Birmingham","BerkleyRdEast,̴̴Haymills.",""
"26",2011,"Birmingham","Birminghamairport",""
"27",2011,"Birmingham","BirminghamInternationalrailwaystation",""
"28",2011,"Birmingham","BordesleyGreen",""
"29",2011,"Birmingham","BordesleyGreen,̴̴BordesleyGreen.",""
"30",2011,"Birmingham","BristolRoad",""
"31",2011,"Birmingham","BristolStr.",""
"32",2011,"Birmingham","BroadStr.",""
"33",2011,"Birmingham","BroadStr.",""
"34",2011,"Birmingham","BroadStr.Birmingham",""
"35",2011,"Birmingham","BucklandEndLaneShardEnd",""
"36",2011,"Birmingham","BullsHeadPH,̴StMarysRow",""
"37",2011,"Birmingham","BushburyRoad,̴KittsGreen",""
"38",2011,"Birmingham","CharticeRoad",""
"39",2011,"Birmingham","ChestnutRoad",""
"40",2011,"Birmingham","Churchrd,̴stechford",""
"41",2011,"Birmingham","ChurchRoad,̴Sheldon",""
"42",2011,"Birmingham","CliffordRDDorridge.",""
"43",2011,"Birmingham","ClockLane",""
"44",2011,"Birmingham","Colonialroad,̴BordesleyGreen`",""
"45",2011,"Birmingham","CorporationSt,Birmingham",""
"46",2011,"Birmingham","CorporationStr.",""
"47",2011,"Birmingham","CoventryrdSmallheath",""
"48",2011,"Birmingham","COVENTRYRD,̴SMALLHEATH,̴BHAM",""
"49",2011,"Birmingham","CoventryRoad",""
"50",2011,"Birmingham","CoventryRoad",""
"51",2011,"Birmingham","CoventryRoad",""
"52",2011,"Birmingham","CoventryRoad",""
"53",2011,"Birmingham","CoventryRoad",""
"54",2011,"Birmingham","Coventryroad,̴Smallheath",""
"55",2011,"Birmingham","CoventryRoad,̴SmallHeath",""
"56",2011,"Birmingham","Coventryroad,smallheath",""
"57",2011,"Birmingham","CranesParkRoad",""
"58",2011,"Birmingham","CranesParkRoadSheldon",""
"59",2011,"Birmingham","Crossfieldroad",""
"60",2011,"Birmingham","CrossfieldsRoadKittsGreen",""
"61",2011,"Birmingham","Cxhurchrd,̴stechford,̴bham",""
"62",2011,"Birmingham","DigbethhighStr.",""
"63",2011,"Birmingham","Edgbastonroad",""
"64",2011,"Birmingham","EdwardRoad.̴Moseley",""
"65",2011,"Birmingham","FightingCoxPH",""
"66",2011,"Birmingham","Foremansroad,̴sparkhill",""
"67",2011,"Birmingham","Frontoffice,̴kingsheath",""
"68",2011,"Birmingham","GarrettsGreenRoad,̴GarrettsGreen",""
"69",2011,"Birmingham","GilesClose",""
"70",2011,"Birmingham","GILESCLOSE,̴STECHFORD",""
"71",2011,"Birmingham","Glazedaleroad",""
"72",2011,"Birmingham","GospelFarmRoad",""
"73",2011,"Birmingham","GospelFarmRoad",""
"74",2011,"Birmingham","Gospellane",""
"75",2011,"Birmingham","Gospellane",""
"76",2011,"Birmingham","GospelLane",""
"77",2011,"Birmingham","Gospellane,̴acocksgreen",""
"78",2011,"Birmingham","GraceChurch,̴SuttonColdfield",""
"79",2011,"Birmingham","GreatHamptonStr.",""
"80",2011,"Birmingham","GreenLane",""
"81",2011,"Birmingham","GreswelllaneShardEnd",""
"82",2011,"Birmingham","Harlequindrive,̴Mosley",""
"83",2011,"Birmingham","HaslucksGreenRoad",""
"84",2011,"Birmingham","HazeldeanRoad",""
"85",2011,"Birmingham","HeartlandsHospital",""
"86",2011,"Birmingham","HeartlandsHospital",""
"87",2011,"Birmingham","HeartlandsHospitalA&̴E.",""
"88",2011,"Birmingham","HeartlandsHospitalA&̴E.",""
"89",2011,"Birmingham","HeartlandshospitalA&̴E.",""
"90",2011,"Birmingham","HepbenGrove",""
"91",2011,"Birmingham","HerrickRoad",""
"92",2011,"Birmingham","HerrickRoad,̴WashwoodHeath",""
"93",2011,"Birmingham","HerrickRoad,̴WashwoodHeath",""
"94",2011,"Birmingham","HighStSolihull",""
"95",2011,"Birmingham","HIGHSTREETKINGSHEATH",""
"96",2011,"Birmingham","HighStr.KingsHeath",""
"97",2011,"Birmingham","HighStr.,̴kingsheath",""
"98",2011,"Birmingham","HobMoorRoadatStarbankRoad",""
"99",2011,"Birmingham","HollowayheadBhamCitycentre",""
"100",2011,"Birmingham","HollywellRoad",""
"101",2011,"Birmingham","Homeaddress",""
"102",2011,"Birmingham","HomeAddress",""
"103",2011,"Birmingham","HomerStr.",""
"104",2011,"Birmingham","HuntersMoonPublichouse.",""
"105",2011,"Birmingham","HurstStr.",""
"106",2011,"Birmingham","HurstStr.",""
"107",2011,"Birmingham","HurstStr.",""
"108",2011,"Birmingham","HurstStr.,̴Birmingham",""
"109",2011,"Birmingham","KingsHeathHighStr.",""
"110",2011,"Birmingham","KNOWLERD,̴SMALLHEATH,̴BHAM",""
"111",2011,"Birmingham","LadypoolRoad",""
"112",2011,"Birmingham","LadypoolRoad",""
"113",2011,"Birmingham","LadywellWalk",""
"114",2011,"Birmingham","LeaHallRD",""
"115",2011,"Birmingham","LeaHallrd",""
"116",2011,"Birmingham","LeaVillage,̴Stechford",""
"117",2011,"Birmingham","LenchesClose,̴Mosley",""
"118",2011,"Birmingham","LimeTreeRoad",""
"119",2011,"Birmingham","LodeLane@̴HermitageRoad",""
"120",2011,"Birmingham","LongStr.",""
"121",2011,"Birmingham","LongStr..̴Sparkhill",""
"122",2011,"Birmingham","LongbridgeLane",""
"123",2011,"Birmingham","LONGMEADOWCRESCENTSHARDEND,̴BHAM",""
"124",2011,"Birmingham","MaccadownLane",""
"125",2011,"Birmingham","Masshouselane",""
"126",2011,"Birmingham","MeadwaymStechford",""
"127",2011,"Birmingham","MickleoverRoad,̴Bromford",""
"128",2011,"Birmingham","Moorcroftroad",""
"129",2011,"Birmingham","MoseleyRoad",""
"130",2011,"Birmingham","Moseleyroad",""
"131",2011,"Birmingham","Moseleyroad",""
"132",2011,"Birmingham","Moseleyroad",""
"133",2011,"Birmingham","MoseleyVillage",""
"134",2011,"Birmingham","MoseleyVillage",""
"135",2011,"Birmingham","MoseleyVillage,̴Alcesterroad",""
"136",2011,"Birmingham","MosleyAllServicesClub,̴ChurchRoad,̴Moseley.",""
"137",2011,"Birmingham","NearlandsCloseQuinton",""
"138",2011,"Birmingham","NewStr.",""
"139",2011,"Birmingham","NorthfieldHighStr.",""
"140",2011,"Birmingham","O/SBEHANS,̴HIGHFIELDROAD,̴BILLESLEY",""
"141",2011,"Birmingham","O/SThejunction,̴MosleyVillage",""
"142",2011,"Birmingham","O/SWashwoodHeathroad",""
"143",2011,"Birmingham","OakhillRoad,̴AcocksGreen",""
"144",2011,"Birmingham","Oppwhitehartlanecookslane",""
"145",2011,"Birmingham","Opposite,̴ALDI,̴StratfordRoad",""
"146",2011,"Birmingham","OutsideJavaloungeAlcesterRoad",""
"147",2011,"Birmingham","OutsideO2̴AcademyNightClubB'hamCityCentre",""
"148",2011,"Birmingham","Outsideravenpublichouse",""
"149",2011,"Birmingham","PackingtonAvenue,̴ShardEnd",""
"150",2011,"Birmingham","Parkoffhobmoorroad",""
"151",2011,"Birmingham","ParkhallCroft",""
"152",2011,"Birmingham","PearTreePH",""
"153",2011,"Birmingham","Policestation",""
"154",2011,"Birmingham","PoliceStationStechford",""
"155",2011,"Birmingham","Poplarroad",""
"156",2011,"Birmingham","Poplarroad",""
"157",2011,"Birmingham","Poplarroad,̴solihull",""
"158",2011,"Birmingham","Poplarroad,̴solihull",""
"159",2011,"Birmingham","PrestonRoad",""
"160",2011,"Birmingham","PrioryRoad,̴HallGreen",""
"161",2011,"Birmingham","Prospectroad",""
"162",2011,"Birmingham","Queenswoodroad",""
"163",2011,"Birmingham","Rearofboots,̴highStr.",""
"164",2011,"Birmingham","REDDINGSLANE,̴TSYLEY",""
"165",2011,"Birmingham","RichmondPrimaryCareCentre,̴RichmondRoad,̴Stechford",""
"166",2011,"Birmingham","Ringroad,̴stourbridge",""
"167",2011,"Birmingham","Sainsburys,̴wawrickroad",""
"168",2011,"Birmingham","Sainsburys.̴alcesterroadsouth",""
"169",2011,"Birmingham","SandfordRoadMoseley",""
"170",2011,"Birmingham","SareholeMill",""
"171",2011,"Birmingham","SedgemereRoad",""
"172",2011,"Birmingham","ShirleyRoad",""
"173",2011,"Birmingham","SHirleyRoad",""
"174",2011,"Birmingham","SnowHill",""
"175",2011,"Birmingham","SolihullLane",""
"176",2011,"Birmingham","StMary'sRoad,̴Moseley",""
"177",2011,"Birmingham","StMarysRow",""
"178",2011,"Birmingham","Stationroad",""
"179",2011,"Birmingham","StationWay,̴BirminghamInternationalrailStation",""
"180",2011,"Birmingham","Stechfordfrontoffice",""
"181",2011,"Birmingham","StechfordP.S.",""
"182",2011,"Birmingham","StechfordRetailPark.",""
"183",2011,"Birmingham","StonehengecroftDruidsheath",""
"184",2011,"Birmingham","StoneyLane",""
"185",2011,"Birmingham","StoneyLane",""
"186",2011,"Birmingham","Stoneylane",""
"187",2011,"Birmingham","STRATFORDHEATH,̴SPARKHILL,̴BIRMINGHAM",""
"188",2011,"Birmingham","Stratfordroad",""
"189",2011,"Birmingham","Stratfordroad",""
"190",2011,"Birmingham","StratfordRoad",""
"191",2011,"Birmingham","Stratfordroad,̴hallgreen",""
"192",2011,"Birmingham","Stratfordroads",""
"193",2011,"Birmingham","StuartRoad,̴Stechford",""
"194",2011,"Birmingham","TalbortStr.",""
"195",2011,"Birmingham","TauntonRoad",""
"196",2011,"Birmingham","Tavistockroad",""
"197",2011,"Birmingham","Theavenue",""
"198",2011,"Birmingham","Thepaertreepub",""
"199",2011,"Birmingham","TrafalgerRoad",""
"200",2011,"Birmingham","WakegreenRoad",""
